feature,mean_full_dataset,std_full_dataset,scaling_scope
word_count_feature,534.436111111111,35.292705831043,full_dataset_descriptive_not_for_classifier_training
sentence_count_feature,33.496527777778,10.984711049116,full_dataset_descriptive_not_for_classifier_training
paragraph_count_feature,9.15625,6.068466064991,full_dataset_descriptive_not_for_classifier_training
mean_sentence_words,17.677049718056,5.930226407856,full_dataset_descriptive_not_for_classifier_training
median_sentence_words,15.292013888889,6.06389349161,full_dataset_descriptive_not_for_classifier_training
std_sentence_words,11.762882251389,4.98177920293,full_dataset_descriptive_not_for_classifier_training
short_sentence_ratio,0.356153276389,0.184460330041,full_dataset_descriptive_not_for_classifier_training
long_sentence_ratio,0.063800397917,0.082545566505,full_dataset_descriptive_not_for_classifier_training
punctuation_per_1000w,198.63996908125,59.330099500669,full_dataset_descriptive_not_for_classifier_training
comma_per_1000w,76.979092141667,16.201128759241,full_dataset_descriptive_not_for_classifier_training
semicolon_per_1000w,7.207663665972,6.515240689004,full_dataset_descriptive_not_for_classifier_training
colon_per_1000w,1.248916303472,2.189762382921,full_dataset_descriptive_not_for_classifier_training
dash_per_1000w,6.356940145833,6.406060591469,full_dataset_descriptive_not_for_classifier_training
question_per_1000w,5.022849267361,5.481162203346,full_dataset_descriptive_not_for_classifier_training
exclamation_per_1000w,4.487682468056,5.901550974682,full_dataset_descriptive_not_for_classifier_training
quote_mark_per_1000w,39.480756029167,36.293657184386,full_dataset_descriptive_not_for_classifier_training
apostrophe_per_1000w,11.692460764583,14.741810725848,full_dataset_descriptive_not_for_classifier_training
ellipsis_per_1000w,0.041584088889,0.363316156854,full_dataset_descriptive_not_for_classifier_training
type_token_ratio,0.522129569444,0.046306088419,full_dataset_descriptive_not_for_classifier_training
root_type_token_ratio,12.046850794444,0.950502458473,full_dataset_descriptive_not_for_classifier_training
hapax_ratio,0.387882728472,0.059843254928,full_dataset_descriptive_not_for_classifier_training
avg_word_length,4.416956765278,0.2903142189,full_dataset_descriptive_not_for_classifier_training
long_word_ratio,0.118653894444,0.038324910274,full_dataset_descriptive_not_for_classifier_training
